link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26]
12172,11780,12149,2,26240,12148,,,,,,,,,,,,,,,,,,,,,,,,,,
4537,12173,12542,2,26240,1107,,,,,,,,,,,,,,,,,,,,,,,,,,
12552,12174,12543,2,26240,12542,,,,,,,,,,,,,,,,,,,,,,,,,,
12556,12175,12544,2,26240,12543,,,,,,,,,,,,,,,,,,,,,,,,,,
12560,12176,12545,2,26240,12544,,,,,,,,,,,,,,,,,,,,,,,,,,
12564,12177,12546,2,26240,12545,,,,,,,,,,,,,,,,,,,,,,,,,,
4536,12178,12547,2,26240,1107,,,,,,,,,,,,,,,,,,,,,,,,,,
12569,12178,12547,2,26240,12545,,,,,,,,,,,,,,,,,,,,,,,,,,
4535,12179,12548,2,26240,1107,,,,,,,,,,,,,,,,,,,,,,,,,,
12571,12179,12548,2,26240,12547,,,,,,,,,,,,,,,,,,,,,,,,,,
4558,12572,12711,1,8192,695,,,,,,,,,,,,,,,,,,,,,,,,,,
4557,12572,12711,1,8192,695,,,,,,,,,,,,,,,,,,,,,,,,,,
12722,12573,12712,1,8192,12711,,,,,,,,,,,,,,,,,,,,,,,,,,
12723,12573,12712,1,8192,12711,,,,,,,,,,,,,,,,,,,,,,,,,,
12728,12574,12713,1,8192,12711,,,,,,,,,,,,,,,,,,,,,,,,,,
12729,12574,12713,1,8192,12711,,,,,,,,,,,,,,,,,,,,,,,,,,
4580,12730,12946,2,32768,744,,,,,,,,,,,,,,,,,,,,,,,,,,
4579,12730,12946,2,32768,744,,,,,,,,,,,,,,,,,,,,,,,,,,
12956,12731,12947,2,32768,12946,,,,,,,,,,,,,,,,,,,,,,,,,,
12960,12732,12948,2,32768,12947,,,,,,,,,,,,,,,,,,,,,,,,,,
12973,12734,12950,2,32768,12948,,,,,,,,,,,,,,,,,,,,,,,,,,
12974,12734,12950,2,32768,14268,,,,,,,,,,,,,,,,,,,,,,,,,,
