link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26],dst[27],dst[28],dst[29]
5710,13057,13185,2,44032,1265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5708,13057,13185,2,44032,1265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13203,13057,13185,2,44032,13184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5715,13204,13332,2,44032,1278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5713,13205,13333,2,44032,1278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5714,13205,13333,2,44032,1278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13351,13205,13333,2,44032,13332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5719,13352,13480,2,44032,1291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5720,13353,13481,2,44032,1291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5718,13353,13481,2,44032,1291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13499,13353,13481,2,44032,13480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5723,13500,13628,2,44032,1304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5725,13501,13629,2,44032,1304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5724,13501,13629,2,44032,1304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13647,13501,13629,2,44032,13628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5728,13648,13776,2,44032,1317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5729,13649,13777,2,44032,1317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5730,13649,13777,2,44032,1317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13795,13649,13777,2,44032,13776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5760,13796,13928,2,44032,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5759,13796,13928,2,44032,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13948,13797,13929,2,44032,13928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13949,13797,13929,2,44032,13928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13950,13797,13929,2,44032,13928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13951,13797,13929,2,44032,13928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13952,13797,13929,2,44032,13928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13953,13797,13929,2,44032,13928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5791,13954,14086,2,44032,9215,9331,9447,9563,9679,9795,9911,10027,,,,,,,,,,,,,,,,,,,,,,
